Component,Use case,Source,Threat,Risk Response,Inherent Risk,Current Risk,Countermeasure progress,Weakness tests,Countermeasure tests,Projected Risk,Owner,MITRE reference,STRIDE-LM
External Web Servers,Information Disclosure,Created by Rules Engine,"Attackers gain access to information about the server, e.g., verbose errors or misconfiguration",Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,Critical,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1087 - Account Discovery||ATT&CK Enterprise - T1190 - Exploit Public-Facing Application||ATT&CK Enterprise - TA0001 - Initial Access||ATT&CK Enterprise - T1082 - System Information Discovery||ATT&CK Enterprise - TA0007 - Discovery,Information Disclosure
P6: Aggregation,Elevation of Privilege,Created by Rules Engine,Attackers gain unauthorized access to the service,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,Critical,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - TA0001 - Initial Access||ATT&CK Enterprise - T1565 - Data Manipulation||ATT&CK Enterprise - TA0004 - Privilege Escalation,Spoofing||Information Disclosure||Elevation of Privilege
P6: Aggregation,Tampering,Created by Rules Engine,Attackers inject malicious code through the JSON data,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,High,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1659 - Content Injection||ATT&CK Mobile - T1516 - Input Injection,Tampering||Information Disclosure||Elevation of Privilege
User,Information Disclosure,Created by Rules Engine,Attackers inject malicious scripts via cross-site scripting (XSS),Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,High,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1059 - Command and Scripting Interpreter,Information Disclosure
External Web Servers,Spoofing,Created by Rules Engine,Attackers intercept and tamper with data,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,High,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1036 - Masquerading||ATT&CK Enterprise - T1001 - Data Obfuscation||ATT&CK Enterprise - T1056 - Input Capture||ATT&CK Enterprise - T1557 - Adversary-in-the-Middle,Spoofing||Tampering
P6: Aggregation,Tampering,Created by Rules Engine,Attackers intercept and tamper with the JSON data sent to the service,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,Critical,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1557 - Adversary-in-the-Middle,Tampering||Spoofing||Information Disclosure
User,Spoofing,Created by Rules Engine,Attackers intercept browser communications through man-in-the-middle (MitM) attacks,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,Critical,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - TA0011 - Command and Control,Spoofing
External Web Servers,Tampering,Created by Rules Engine,"Attackers manipulate SSL/TLS weaknesses, e.g., Heartbleed",Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,High,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - TA0005 - Defense Evasion||ATT&CK Enterprise - T1600 - Weaken Encryption||ATT&CK Enterprise - T1588 - Obtain Capabilities,Information Disclosure||Tampering
External Web Servers,Tampering,Created by Rules Engine,"Attackers manipulate the server in unintended ways, e.g., injection attacks",Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,High,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1059 - Command and Scripting Interpreter||ATT&CK Enterprise - T1190 - Exploit Public-Facing Application||ATT&CK Enterprise - TA0001 - Initial Access||ATT&CK Enterprise - TA0005 - Defense Evasion||ATT&CK Enterprise - T1659 - Content Injection,Elevation of Privilege||Information Disclosure||Tampering
DS1: Search Cache,Denial of Service,Created by Rules Engine,Cache exhaustion due to excessive data caching,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,Critical,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,EMB3D - TID-405 - Network Stack Resource Exhaustion,Denial of Service
DS1: Search Cache,Tampering,Created by Rules Engine,Cache poisoning through malicious software,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,Critical,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,EMB3D - TID-224 - Excessive Access via Software Diagnostic Features,Tampering
TB-3: SSL Disabled - Critical Risk,Spoofing,Created by Rules Engine,Certificate spoofing by malicious parties,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,High,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1553 - Subvert Trust Controls,Spoofing
TB-4: CORS Wildcard,Spoofing,Created by Rules Engine,Certificate spoofing by malicious parties,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,High,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1553 - Subvert Trust Controls,Spoofing
P2: Citation Analysis,Information Disclosure,Created by Rules Engine,Credential and secret leakage in pipelines,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,Critical,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATLAS - AML.T0021 - Establish Accounts||ATLAS - AML.T0057 - LLM Data Leakage||ATLAS - AML.TA0013 - Credential Access,Information Disclosure
P2: Citation Analysis,Tampering,Created by Rules Engine,Data poisoning,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,Critical,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATLAS - AML.T0010.002 - Data||ATLAS - AML.T0011.000 - Unsafe AI Artifacts||ATLAS - AML.T0018.000 - Poison AI Model||ATLAS - AML.T0058 - Publish Poisoned Models,Tampering
DS1: Search Cache,Denial of Service,Created by Rules Engine,Denial-of-service attacks targeting cache memory,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,Critical,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,EMB3D - TID-405 - Network Stack Resource Exhaustion,Denial of Service
TB-3: SSL Disabled - Critical Risk,Spoofing,Created by Rules Engine,Downgrade attacks on TLS protocol,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,High,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1562.010 - Downgrade Attack,Spoofing
TB-4: CORS Wildcard,Spoofing,Created by Rules Engine,Downgrade attacks on TLS protocol,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,High,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1562.010 - Downgrade Attack,Spoofing
TB-3: SSL Disabled - Critical Risk,Repudiation,Created by Rules Engine,Expired or revoked certificates,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,High,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1554 - Compromise Host Software Binary,Repudiation
TB-4: CORS Wildcard,Repudiation,Created by Rules Engine,Expired or revoked certificates,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,High,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1554 - Compromise Host Software Binary,Repudiation
DS1: Search Cache,Information Disclosure,Created by Rules Engine,Exploiting cache side-channel vulnerabilities to leak sensitive data,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,Critical,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,EMB3D - TID-210 - Device Vulnerabilities Unpatchable,Information Disclosure
DS1: Search Cache,Information Disclosure,Created by Rules Engine,Exploiting cache timing attacks to infer sensitive data,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,Critical,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,EMB3D - TID-103 - Microarchitectural Side Channels,Information Disclosure
P2: Citation Analysis,Information Disclosure,Created by Rules Engine,Exposure of PII and sensitive data,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,High,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATLAS - AML.T0057 - LLM Data Leakage,Information Disclosure
P2: Citation Analysis,Tampering,Created by Rules Engine,Injection of poisoned datasets from attacker-controlled cloud domains,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,Critical,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATLAS - AML.T0008.002 - Domains,Tampering
P5: Similarity Engine,Spoofing,Created by Rules Engine,Insecure oauth client configuration,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,High,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1199 - Trusted Relationship,Spoofing
P5: Similarity Engine,Repudiation,Created by Rules Engine,Insufficient auditability of admin changes,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,High,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1070.004 - File Deletion,Repudiation
P2: Citation Analysis,Repudiation,Created by Rules Engine,Insufficient drift and anomaly detection,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,High,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATLAS - AML.T0051 - LLM Prompt Injection,Repudiation
External Web Servers,Information Disclosure,Created by Rules Engine,Insufficient logging,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,Medium,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - TA0005 - Defense Evasion||ATT&CK Enterprise - T1562 - Impair Defenses,Information Disclosure||Repudiation
DS2: ML Model Store,Information Disclosure,Created by Rules Engine,Insufficient tenant isolation in vector databases may expose embeddings across boundaries,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,Critical,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATLAS - AML.T0002.000 - Datasets,Information Disclosure
TB-3: SSL Disabled - Critical Risk,Tampering,Created by Rules Engine,Interception and tampering of certificate exchange,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,Critical,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1557 - Adversary-in-the-Middle,Tampering
TB-4: CORS Wildcard,Tampering,Created by Rules Engine,Interception and tampering of certificate exchange,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,Critical,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1557 - Adversary-in-the-Middle,Tampering
P5: Similarity Engine,Tampering,Created by Rules Engine,Lack of signing key protection,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,Critical,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1081 - Credentials in Files,Tampering
P2: Citation Analysis,Repudiation,Created by Rules Engine,Loss of traceability and lineage,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,High,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATLAS - AML.T0024.002 - Extract AI Model,Repudiation
DS2: ML Model Store,Tampering,Created by Rules Engine,Manipulated vector index data may alter retrieval accuracy and trustworthiness of results,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,Critical,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATLAS - AML.TA0007 - Defense Evasion,Tampering
TB-3: SSL Disabled - Critical Risk,Tampering,Created by Rules Engine,Misconfigured mTLS leading to weak security settings,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,High,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1543 - Create or Modify System Process,Tampering
TB-4: CORS Wildcard,Tampering,Created by Rules Engine,Misconfigured mTLS leading to weak security settings,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,High,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1543 - Create or Modify System Process,Tampering
P2: Citation Analysis,Tampering,Created by Rules Engine,Mislabeling during curation,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,High,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATLAS - AML.T0020 - Poison Training Data,Tampering
DS2: ML Model Store,Information Disclosure,Created by Rules Engine,Observable embedding query patterns may enable inference of training or indexed data membership,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,High,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATLAS - AML.T0029 - Denial of AI Service,Information Disclosure
P5: Similarity Engine,Spoofing,Created by Rules Engine,Outbound connection downgrade and legacy protocol risk,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,High,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1036 - Masquerading,Spoofing
TB-3: SSL Disabled - Critical Risk,Information Disclosure,Created by Rules Engine,Private key exposure,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,High,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1145 - Private Keys,Information Disclosure
TB-4: CORS Wildcard,Information Disclosure,Created by Rules Engine,Private key exposure,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,High,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1145 - Private Keys,Information Disclosure
DS2: ML Model Store,Elevation of Privilege,Created by Rules Engine,Security control evasion using leaked model embeddings,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,High,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATLAS - AML.T0002 - Acquire Public AI Artifacts,Elevation of Privilege
P2: Citation Analysis,Tampering,Created by Rules Engine,Staged malicious datasets introduced through external storage sources,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,Critical,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATLAS - AML.T0079 - Stage Capabilities,Tampering
P5: Similarity Engine,Tampering,Created by Rules Engine,Stale signing certificates and unsafe rollover,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,High,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1588 - Obtain Capabilities,Tampering
P2: Citation Analysis,Information Disclosure,Created by Rules Engine,Theft of experimental datasets from preliminary paper attachments,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,Critical,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATLAS - AML.T0000.001 - Pre-Print Repositories,Information Disclosure
P4: Page Fetching,Information Disclosure,Created by Rules Engine,Unauthorized network access,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,High,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1078 - Valid Accounts,Information Disclosure
P4: Page Fetching,Denial of Service,Created by Rules Engine,Undetected service anomalies,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,Medium,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1046 - Network Service Discovery,Denial of Service
P5: Similarity Engine,Information Disclosure,Created by Rules Engine,Unencrypted or weak TLS configuration,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,High,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1557 - Adversary-in-the-Middle,Information Disclosure
P5: Similarity Engine,Elevation of Privilege,Created by Rules Engine,Unmonitored security events and auth activity,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,Medium,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1078 - Valid Accounts,Elevation of Privilege
P5: Similarity Engine,Tampering,Created by Rules Engine,Unsafe oauth client lifecycle automation,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,High,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1553 - Subvert Trust Controls,Tampering
P2: Citation Analysis,Tampering,Created by Rules Engine,Use of malicious or vulnerable libraries,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,Critical,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATLAS - AML.T0001 - Search Open AI Vulnerability Analysis||ATLAS - AML.T0011.001 - Malicious Package,Tampering
P5: Similarity Engine,Spoofing,Created by Rules Engine,Weak admin authentication to management console,Planned mitigation: 0%. Mitigated: 100%. Unmitigated: 0%.,High,Low,100%,Not tested,Not tested,Low,Ayaan Irfan,ATT&CK Enterprise - T1078 - Valid Accounts,Spoofing
